xMean,yMean,zMean,xVar,yVar,zVar,s2Mean,s2Var,tilt,energy,kurtosis,tag
1.169268,-10.456669,-0.943160,20.136778,37.927124,53.497353,222.711884,46011.972656,0.987726,55455.269531,8.075299,running
1.260286,-10.145725,-0.807340,19.933649,39.535271,54.125526,218.314087,46642.457031,0.984918,54360.214844,7.986633,running
1.383802,-10.092797,-1.089988,20.226250,39.775249,58.068386,222.563248,49711.988281,0.981715,55418.253906,7.007219,running
1.358369,-10.025812,-1.055554,20.446390,39.653591,60.771080,223.861908,50701.277344,0.982134,55741.617188,6.676002,running
1.360601,-10.252058,-1.061457,20.637470,38.613503,60.716293,227.568085,50039.750000,0.982839,56664.453125,6.767406,running
1.356289,-10.322819,-1.147160,20.688578,37.689499,60.608707,228.225006,49803.066406,0.983172,56828.027344,6.826775,running
1.266447,-10.172540,-0.811083,20.327379,37.069397,54.972763,217.660568,44306.738281,0.984852,54197.484375,7.416153,running
1.152232,-10.276990,-0.906685,19.346796,37.396130,53.491146,217.557602,43862.460938,0.987662,54171.851563,7.613282,running
1.154359,-10.336446,-0.954182,18.685890,37.728477,53.404869,218.463333,43878.835938,0.987756,54397.375000,7.564737,running
1.246678,-10.507670,-0.882714,18.841976,37.752666,53.182552,222.080856,43625.863281,0.986214,55298.132813,7.518688,running
1.231937,-10.319282,-0.784053,18.845476,39.301643,53.537529,219.856094,44055.671875,0.986046,54744.175781,7.421252,running
1.304342,-10.132624,-0.740604,18.876842,39.826935,54.297390,217.467209,44743.210938,0.983830,54149.339844,7.217842,running
1.455744,-10.078281,-1.074042,19.550829,39.384079,57.953251,221.263245,46681.273438,0.979767,55094.546875,6.466359,running
1.473109,-10.059621,-0.945172,19.474218,39.461010,59.130562,221.850998,46651.328125,0.979222,55240.898438,6.452838,running
1.381188,-10.305688,-1.018605,20.118296,37.967888,58.460377,225.230942,46134.742188,0.982508,56082.503906,6.516706,running
1.347647,-10.181354,-0.837477,19.875999,37.046417,53.774406,216.429749,40563.261719,0.982927,53891.003906,6.900240,running
1.250334,-10.230224,-0.783326,19.696754,37.206085,51.058369,214.362030,40389.847656,0.985389,53376.144531,7.063625,running
1.248045,-10.287285,-0.943939,19.017298,37.132561,50.820518,214.817657,40091.828125,0.985599,53489.589844,7.187123,running
